iter	Passed	Remaining
0	1	139
1	3	167
2	5	168
3	6	164
4	8	163
5	10	161
6	11	156
7	13	151
8	14	147
9	15	142
10	17	138
11	18	134
12	19	129
13	20	125
14	21	122
15	22	118
16	23	114
17	24	110
18	25	107
19	25	103
20	26	100
21	27	97
22	28	94
23	29	92
24	29	89
25	30	86
26	30	83
27	31	81
28	32	79
29	32	76
30	33	74
31	34	72
32	35	71
33	35	69
34	36	67
35	36	65
36	37	63
37	38	62
38	38	60
39	39	58
40	39	57
41	40	55
42	40	53
43	41	52
44	41	51
45	42	49
46	43	48
47	43	47
48	44	46
49	45	45
50	45	43
51	46	42
52	46	41
53	47	40
54	47	39
55	48	38
56	49	37
57	49	36
58	50	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	54	28
66	55	27
67	56	26
68	56	25
69	57	24
70	58	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	61	18
77	62	17
78	62	16
79	63	15
80	64	15
81	64	14
82	65	13
83	66	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	72	4
94	73	3
95	74	3
96	74	2
97	75	1
98	76	0
99	76	0
