iter	Passed	Remaining
0	176	176272
1	179	89762
2	182	60784
3	185	46193
4	188	37481
5	191	31717
6	194	27576
7	197	24500
8	200	22061
9	203	20132
10	206	18595
11	210	17293
12	213	16195
13	216	15240
14	219	14417
15	222	13684
16	226	13072
17	229	12497
18	232	11984
19	235	11548
20	238	11126
21	241	10747
22	244	10387
23	247	10064
24	250	9774
25	253	9495
26	256	9244
27	259	9000
28	261	8772
29	265	8585
30	268	8395
31	271	8213
32	274	8036
33	278	7900
34	281	7748
35	284	7606
36	286	7469
37	289	7336
38	293	7230
39	296	7112
40	299	7007
41	302	6910
42	306	6825
43	310	6744
44	314	6684
45	319	6617
46	323	6561
47	326	6477
48	330	6417
49	335	6366
50	339	6310
51	341	6234
52	346	6187
53	349	6118
54	352	6062
55	356	6005
56	359	5946
57	362	5890
58	365	5836
59	369	5791
60	372	5737
61	376	5691
62	379	5641
63	384	5617
64	387	5570
65	391	5537
66	394	5497
67	398	5462
68	401	5420
69	405	5390
70	408	5346
71	412	5310
72	415	5279
73	419	5243
74	422	5209
75	425	5173
76	429	5146
77	432	5115
78	437	5095
79	439	5059
80	443	5029
81	447	5006
82	449	4968
83	452	4937
84	456	4910
85	459	4887
86	462	4858
87	466	4835
88	469	4805
89	473	4783
90	476	4754
91	479	4734
92	483	4716
93	487	4698
94	490	4674
95	493	4649
96	497	4633
97	500	4608
98	504	4590
99	507	4570
100	511	4552
101	514	4531
102	517	4509
103	521	4492
104	525	4476
105	529	4462
106	534	4456
107	537	4438
108	541	4425
109	544	4405
110	548	4395
111	552	4376
112	556	4365
113	559	4347
114	562	4331
115	565	4313
116	568	4290
117	571	4272
118	574	4252
119	577	4234
120	580	4217
121	583	4200
122	587	4190
123	590	4174
124	595	4166
125	599	4157
126	602	4142
127	606	4129
128	610	4120
129	613	4105
130	616	4092
131	620	4082
132	623	4066
133	626	4050
134	629	4035
135	632	4020
136	635	4004
137	638	3988
138	641	3972
139	644	3960
140	648	3951
141	651	3934
142	654	3922
143	657	3908
144	661	3897
145	664	3887
146	668	3877
147	670	3862
148	673	3848
149	677	3840
150	680	3827
151	684	3818
152	687	3806
153	692	3801
154	694	3788
155	698	3778
156	701	3766
157	705	3758
158	708	3745
159	711	3734
160	713	3717
161	716	3706
162	720	3700
163	724	3692
164	728	3686
165	731	3673
166	735	3668
167	738	3658
168	742	3648
169	745	3639
170	749	3633
171	752	3622
172	756	3614
173	759	3606
174	762	3595
175	766	3589
176	769	3578
177	773	3570
178	776	3562
179	780	3554
180	783	3545
181	786	3536
182	789	3526
183	792	3516
184	796	3510
185	799	3500
186	803	3494
187	807	3485
188	810	3479
189	814	3472
190	818	3465
191	821	3456
192	824	3447
193	827	3437
194	830	3428
195	834	3421
196	837	3412
197	840	3404
198	843	3395
199	846	3386
200	850	3379
201	853	3371
202	856	3364
203	859	3354
204	863	3349
205	866	3340
206	870	3334
207	873	3326
208	877	3322
209	880	3312
210	885	3310
211	887	3300
212	891	3293
213	894	3283
214	896	3273
215	899	3266
216	903	3259
217	907	3254
218	910	3247
219	914	3241
220	917	3235
221	920	3227
222	924	3222
223	928	3218
224	932	3212
225	936	3207
226	939	3199
227	942	3192
228	946	3186
229	950	3181
230	953	3174
231	956	3167
232	961	3165
233	964	3157
234	968	3153
235	972	3147
236	976	3144
237	980	3138
238	983	3131
239	987	3125
240	990	3119
241	993	3110
242	997	3106
243	1000	3100
244	1003	3093
245	1006	3085
246	1009	3077
247	1012	3070
248	1015	3063
249	1019	3059
250	1023	3054
251	1028	3053
252	1032	3047
253	1035	3039
254	1042	3044
255	1048	3046
256	1051	3039
257	1055	3034
258	1057	3024
259	1062	3023
260	1065	3015
261	1068	3009
262	1071	3001
263	1074	2996
264	1077	2988
265	1079	2979
266	1083	2974
267	1086	2966
268	1089	2960
269	1092	2954
270	1095	2946
271	1099	2942
272	1102	2936
273	1109	2939
274	1116	2944
275	1122	2943
276	1124	2936
277	1128	2931
278	1131	2924
279	1134	2916
280	1137	2910
281	1140	2904
282	1144	2899
283	1147	2893
284	1151	2889
285	1155	2884
286	1158	2878
287	1162	2873
288	1165	2866
289	1168	2859
290	1169	2850
291	1172	2843
292	1175	2836
293	1178	2829
294	1182	2827
295	1185	2819
296	1188	2814
297	1191	2807
298	1193	2798
299	1197	2793
300	1200	2787
301	1202	2780
302	1205	2773
303	1208	2766
304	1211	2761
305	1214	2755
306	1217	2749
307	1221	2743
308	1224	2737
309	1227	2732
310	1231	2728
311	1235	2723
312	1238	2718
313	1241	2712
314	1244	2706
315	1248	2701
316	1251	2695
317	1253	2688
318	1256	2683
319	1259	2676
320	1262	2671
321	1266	2666
322	1268	2659
323	1272	2654
324	1275	2648
325	1279	2645
326	1282	2639
327	1286	2634
328	1289	2629
329	1292	2624
330	1295	2618
331	1298	2613
332	1302	2609
333	1305	2603
334	1309	2598
335	1312	2593
336	1316	2589
337	1318	2582
338	1321	2577
339	1324	2571
340	1327	2565
341	1330	2559
342	1334	2555
343	1336	2549
344	1340	2544
345	1343	2539
346	1347	2535
347	1350	2529
348	1354	2525
349	1357	2520
350	1360	2514
351	1362	2509
352	1365	2503
353	1369	2498
354	1372	2493
355	1375	2488
356	1377	2481
357	1380	2476
358	1384	2471
359	1387	2466
360	1391	2463
361	1395	2458
362	1398	2454
363	1401	2449
364	1405	2445
365	1409	2440
366	1412	2436
367	1415	2431
368	1419	2427
369	1422	2422
370	1426	2417
371	1429	2413
372	1433	2409
373	1436	2404
374	1440	2400
375	1443	2395
376	1446	2390
377	1450	2386
378	1453	2382
379	1457	2377
380	1460	2372
381	1463	2367
382	1467	2363
383	1470	2358
384	1473	2354
385	1476	2348
386	1480	2344
387	1483	2339
388	1486	2334
389	1490	2330
390	1493	2326
391	1497	2322
392	1501	2318
393	1504	2314
394	1507	2308
395	1510	2304
396	1514	2299
397	1517	2295
398	1520	2290
399	1524	2286
400	1527	2281
401	1530	2277
402	1534	2273
403	1537	2268
404	1541	2264
405	1543	2258
406	1547	2254
407	1550	2249
408	1553	2245
409	1557	2240
410	1560	2235
411	1563	2232
412	1568	2229
413	1571	2224
414	1574	2220
415	1578	2216
416	1582	2212
417	1585	2207
418	1589	2203
419	1592	2198
420	1595	2193
421	1598	2189
422	1602	2186
423	1605	2180
424	1609	2177
425	1612	2172
426	1615	2167
427	1618	2163
428	1622	2159
429	1625	2155
430	1628	2149
431	1632	2146
432	1635	2141
433	1639	2137
434	1642	2133
435	1646	2130
436	1649	2125
437	1654	2122
438	1657	2117
439	1660	2113
440	1664	2109
441	1667	2105
442	1670	2100
443	1673	2095
444	1677	2091
445	1680	2086
446	1683	2083
447	1686	2078
448	1690	2074
449	1693	2069
450	1696	2064
451	1699	2060
452	1703	2056
453	1706	2052
454	1709	2047
455	1713	2043
456	1716	2038
457	1719	2034
458	1722	2030
459	1725	2026
460	1729	2021
461	1732	2017
462	1737	2014
463	1741	2011
464	1744	2006
465	1747	2002
466	1750	1998
467	1753	1993
468	1757	1989
469	1760	1985
470	1763	1981
471	1766	1976
472	1770	1972
473	1774	1968
474	1777	1964
475	1781	1960
476	1785	1957
477	1788	1953
478	1791	1949
479	1795	1945
480	1798	1940
481	1802	1937
482	1805	1932
483	1809	1928
484	1812	1924
485	1815	1919
486	1818	1915
487	1821	1911
488	1826	1908
489	1829	1904
490	1833	1901
491	1836	1896
492	1841	1893
493	1844	1889
494	1848	1885
495	1851	1881
496	1855	1877
497	1858	1873
498	1862	1870
499	1865	1865
500	1868	1860
501	1871	1856
502	1874	1852
503	1877	1848
504	1880	1843
505	1884	1840
506	1887	1835
507	1891	1831
508	1894	1827
509	1898	1824
510	1902	1820
511	1905	1815
512	1909	1812
513	1912	1808
514	1916	1804
515	1919	1800
516	1922	1796
517	1925	1792
518	1929	1787
519	1932	1783
520	1935	1779
521	1939	1776
522	1942	1771
523	1947	1768
524	1950	1764
525	1954	1761
526	1957	1757
527	1960	1752
528	1964	1748
529	1967	1744
530	1970	1740
531	1973	1736
532	1977	1732
533	1980	1728
534	1983	1724
535	1987	1720
536	1990	1716
537	1993	1711
538	1996	1707
539	1999	1703
540	2002	1698
541	2005	1694
542	2008	1690
543	2012	1687
544	2015	1682
545	2018	1678
546	2022	1674
547	2026	1671
548	2030	1667
549	2033	1663
550	2037	1659
551	2040	1656
552	2044	1652
553	2047	1648
554	2051	1644
555	2054	1640
556	2058	1637
557	2061	1632
558	2064	1629
559	2068	1625
560	2071	1621
561	2075	1617
562	2078	1613
563	2082	1609
564	2085	1605
565	2088	1601
566	2091	1597
567	2095	1593
568	2098	1589
569	2102	1585
570	2105	1581
571	2109	1578
572	2112	1574
573	2116	1570
574	2119	1566
575	2122	1562
576	2125	1558
577	2128	1554
578	2132	1550
579	2135	1546
580	2138	1542
581	2141	1538
582	2145	1534
583	2148	1530
584	2152	1526
585	2155	1522
586	2158	1518
587	2161	1514
588	2165	1510
589	2168	1507
590	2172	1503
591	2177	1500
592	2180	1496
593	2185	1493
594	2188	1489
595	2192	1486
596	2195	1482
597	2200	1478
598	2203	1474
599	2207	1471
600	2210	1467
601	2213	1463
602	2217	1459
603	2221	1456
604	2224	1452
605	2227	1448
606	2231	1444
607	2235	1441
608	2238	1437
609	2241	1433
610	2246	1429
611	2248	1425
612	2252	1421
613	2255	1417
614	2259	1414
615	2262	1410
616	2266	1407
617	2269	1403
618	2273	1399
619	2277	1395
620	2280	1391
621	2283	1387
622	2287	1384
623	2290	1380
624	2293	1376
625	2297	1372
626	2300	1368
627	2304	1364
628	2307	1360
629	2310	1357
630	2313	1353
631	2317	1349
632	2320	1345
633	2323	1341
634	2327	1337
635	2330	1333
636	2334	1330
637	2337	1326
638	2340	1322
639	2343	1318
640	2347	1314
641	2350	1310
642	2353	1306
643	2357	1302
644	2360	1299
645	2364	1295
646	2367	1291
647	2370	1287
648	2373	1283
649	2376	1279
650	2380	1276
651	2383	1272
652	2387	1268
653	2390	1264
654	2393	1260
655	2396	1256
656	2399	1252
657	2404	1249
658	2407	1245
659	2410	1241
660	2413	1238
661	2417	1234
662	2420	1230
663	2424	1226
664	2427	1222
665	2430	1218
666	2433	1214
667	2436	1210
668	2439	1207
669	2442	1203
670	2446	1199
671	2449	1195
672	2453	1191
673	2456	1187
674	2458	1183
675	2462	1180
676	2465	1176
677	2469	1172
678	2472	1168
679	2475	1164
680	2478	1161
681	2481	1157
682	2485	1153
683	2489	1149
684	2492	1146
685	2495	1142
686	2499	1138
687	2502	1134
688	2507	1131
689	2510	1127
690	2513	1124
691	2516	1120
692	2520	1116
693	2523	1112
694	2527	1109
695	2530	1105
696	2533	1101
697	2537	1097
698	2540	1093
699	2543	1090
700	2547	1086
701	2550	1082
702	2553	1078
703	2557	1075
704	2560	1071
705	2564	1067
706	2567	1064
707	2570	1060
708	2573	1056
709	2577	1052
710	2580	1048
711	2583	1045
712	2587	1041
713	2590	1037
714	2593	1033
715	2596	1030
716	2600	1026
717	2603	1022
718	2607	1018
719	2610	1015
720	2614	1011
721	2618	1008
722	2621	1004
723	2624	1000
724	2628	996
725	2631	993
726	2635	989
727	2639	986
728	2642	982
729	2645	978
730	2649	974
731	2652	971
732	2657	967
733	2659	963
734	2663	960
735	2666	956
736	2670	952
737	2673	949
738	2676	945
739	2680	941
740	2683	937
741	2687	934
742	2690	930
743	2693	926
744	2696	923
745	2700	919
746	2704	915
747	2707	912
748	2711	908
749	2714	904
750	2718	901
751	2722	897
752	2725	894
753	2729	890
754	2733	886
755	2736	883
756	2740	879
757	2743	875
758	2748	872
759	2751	868
760	2755	865
761	2758	861
762	2761	857
763	2764	854
764	2768	850
765	2772	846
766	2775	843
767	2778	839
768	2782	835
769	2785	832
770	2789	828
771	2794	825
772	2797	821
773	2801	817
774	2804	814
775	2808	810
776	2811	806
777	2815	803
778	2818	799
779	2821	795
780	2824	792
781	2828	788
782	2831	784
783	2835	781
784	2839	777
785	2842	774
786	2847	770
787	2851	767
788	2854	763
789	2857	759
790	2861	756
791	2866	752
792	2869	748
793	2872	745
794	2876	741
795	2880	738
796	2883	734
797	2887	730
798	2890	727
799	2894	723
800	2897	719
801	2900	716
802	2904	712
803	2907	708
804	2911	705
805	2914	701
806	2918	698
807	2921	694
808	2925	690
809	2928	686
810	2932	683
811	2935	679
812	2939	676
813	2943	672
814	2947	668
815	2950	665
816	2954	661
817	2957	658
818	2961	654
819	2965	650
820	2970	647
821	2973	643
822	2977	640
823	2980	636
824	2984	633
825	2988	629
826	2992	626
827	2995	622
828	2999	618
829	3002	615
830	3007	611
831	3011	608
832	3014	604
833	3017	600
834	3022	597
835	3025	593
836	3029	590
837	3032	586
838	3036	582
839	3040	579
840	3043	575
841	3046	571
842	3049	567
843	3053	564
844	3056	560
845	3060	557
846	3063	553
847	3068	549
848	3072	546
849	3076	542
850	3081	539
851	3085	536
852	3089	532
853	3093	528
854	3096	525
855	3100	521
856	3102	517
857	3106	514
858	3109	510
859	3112	506
860	3115	502
861	3119	499
862	3123	495
863	3127	492
864	3130	488
865	3133	484
866	3136	481
867	3139	477
868	3143	473
869	3146	470
870	3149	466
871	3153	462
872	3156	459
873	3160	455
874	3163	451
875	3167	448
